# name	cardType	attribute	monsterType	monsterAbility	type	level	attack	defense	lpendulum	rpendulum	spellType	trapType
Ryu-Ran	Monster	Fire	Normal	None	Dragon	7	2200	2600	0	0	None	None
Ryu Senshi	Monster	Earth	Fusion	Effect	Warrior	6	2000	1200	0	0	None	None
Saambell the Summoner	Monster	Wind	Effect	None	Spellcaster	2	600	400	0	0	None	None
Saber Beetle	Monster	Earth	Effect	None	Insect	6	2400	600	0	0	None	None
Sabersaurus	Monster	Earth	Normal	None	Dinosaur	4	1900	500	0	0	None	None
Sacred Crane	Monster	Light	Effect	None	WingedBeast	4	1600	400	0	0	None	None
Sacred Phoenix of Nephthys	Monster	Fire	Effect	None	WingedBeast	8	2400	1600	0	0	None	None
Sacred Spirit of the Ice Barrier	Monster	Water	Effect	Spirit	Zombie	4	1600	1200	0	0	None	None
Sage of Silence	Monster	Light	Effect	None	Spellcaster	4	1400	1000	0	0	None	None
Sage of Stillness	Monster	Light	Effect	None	Spellcaster	4	1400	1000	0	0	None	None
Saggi the Dark Clown	Monster	Dark	Normal	None	Spellcaster	3	600	1500	0	0	None	None
Salvage Warrior	Monster	Water	Effect	None	Warrior	5	1900	1600	0	0	None	None
Samsara Lotus	Monster	Dark	Effect	None	Plant	1	0	0	0	0	None	None
Samsara Kaiser	Monster	Earth	Effect	None	Warrior	2	200	100	0	0	None	None
Samurai of the Ice Barrier	Monster	Water	Effect	None	Warrior	4	1800	1500	0	0	None	None
Samurai Sword Baron	Monster	Earth	Effect	None	Warrior	4	1600	1200	0	0	None	None
Sand Gambler	Monster	Light	Effect	None	Spellcaster	3	300	1600	0	0	None	None
Sand Moth	Monster	Earth	Effect	None	Rock	4	1000	2000	0	0	None	None
Sand Stone	Monster	Earth	Normal	None	Rock	5	1300	1600	0	0	None	None
Sanga of the Thunder	Monster	Light	Effect	None	Thunder	7	2600	2200	0	0	None	None
Sangan	Monster	Dark	Effect	None	Fiend	3	1000	600	0	0	None	None
Sanwitch	Monster	Dark	Fusion	None	Spellcaster	6	2100	1800	0	0	None	None
Sasuke Samurai	Monster	Wind	Effect	None	Warrior	2	500	800	0	0	None	None
Sasuke Samurai #2	Monster	Wind	Effect	None	Warrior	1	200	300	0	0	None	None
Sasuke Samurai #3	Monster	Light	Effect	None	Warrior	3	1000	1000	0	0	None	None
Sasuke Samurai #4	Monster	Wind	Effect	None	Warrior	4	1200	1200	0	0	None	None
Satellite Cannon	Monster	Light	Effect	None	Machine	5	0	0	0	0	None	None
Sauropod Brachion	Monster	Earth	Effect	None	Dinosaur	8	1500	3000	0	0	None	None
Scanner	Monster	Light	Effect	None	Machine	1	0	0	0	0	None	None
Scarr, Scout of Dark World	Monster	Dark	Effect	None	Fiend	2	500	500	0	0	None	None
Scary Moth	Monster	Wind	Effect	None	Insect	6	1800	2300	0	0	None	None
Science Soldier	Monster	Dark	Normal	None	Warrior	5	800	800	0	0	None	None
Scrap Archfiend	Monster	Earth	Synchro	None	Fiend	7	2700	1800	0	0	None	None
Scrap Beast	Monster	Earth	Effect	Tuner	Beast	4	1600	1300	0	0	None	None
Scrap Breaker	Monster	Earth	Effect	None	Machine	6	2100	700	0	0	None	None
Scrap Chimera	Monster	Earth	Effect	None	Beast	4	1700	500	0	0	None	None
Scrap Dragon	Monster	Earth	Synchro	Effect	Dragon	8	2800	2000	0	0	None	None
Scrap Goblin	Monster	Earth	Effect	Tuner	BeastWarrior	3	0	500	0	0	None	None
Scrap Golem	Monster	Earth	Effect	None	Rock	5	2300	1400	0	0	None	None
Scrap Hunter	Monster	Earth	Effect	None	Machine	3	1600	400	0	0	None	None
Scrap Kong	Monster	Earth	Effect	None	Beast	4	2000	1000	0	0	None	None
Scrap Mind Reader	Monster	Earth	Effect	Tuner	Machine	1	0	0	0	0	None	None
Scrap Orthros	Monster	Earth	Effect	Tuner	Beast	4	1700	1100	0	0	None	None
Scrap Recycler	Monster	Earth	Effect	None	Machine	3	900	1200	0	0	None	None
Scrap Searcher	Monster	Earth	Effect	None	WingedBeast	1	100	300	0	0	None	None
Scrap Shark	Monster	Earth	Effect	None	Fish	4	2100	0	0	0	None	None
Scrap Soldier	Monster	Earth	Effect	Tuner	Warrior	5	2100	700	0	0	None	None
Scrap Twin Dragon	Monster	Earth	Synchro	Effect	Dragon	9	3000	2200	0	0	None	None
Scrap Worm	Monster	Earth	Effect	Tuner	Insect	2	500	100	0	0	None	None
Sealmaster Meisei	Monster	Dark	Normal	None	Spellcaster	3	1100	900	0	0	None	None
Search Striker	Monster	Wind	Effect	None	Warrior	4	1600	1200	0	0	None	None
Searchlightman	Monster	Light	Effect	None	Machine	3	1000	1000	0	0	None	None
Sea Dragon Lord Gishilnodon	Monster	Water	Synchro	Effect	SeaSerpent	5	2300	1800	0	0	None	None
Sea Koala	Monster	Earth	Effect	None	Beast	2	100	1600	0	0	None	None
Sea Lancer	Monster	Water	Effect	None	BeastWarrior	5	1300	1000	0	0	None	None
Sea Serpent Warrior of Darkness	Monster	Water	Normal	None	SeaSerpent	4	1800	1500	0	0	None	None
Second Booster	Monster	Fire	Effect	None	Machine	3	1000	500	0	0	None	None
Second Goblin	Monster	Dark	Effect	Union	Fiend	1	100	100	0	0	None	None
Secret Guards of the Ice Barrier	Monster	Water	Effect	None	Aqua	2	100	1600	0	0	None	None
Sectarian of Secrets	Monster	Dark	Normal	None	Spellcaster	2	700	500	0	0	None	None
Seed of Flame	Monster	Fire	Effect	None	Plant	3	1600	1200	0	0	None	None
Seismic Crasher	Monster	Earth	Effect	None	Rock	3	1400	300	0	0	None	None
Seiyaryu	Monster	Light	Normal	None	Dragon	7	2500	2300	0	0	None	None
Sengenjin	Monster	Earth	Normal	None	BeastWarrior	8	2750	2500	0	0	None	None
Senior Silver Ninja	Monster	Earth	Effect	None	Warrior	6	2300	2200	0	0	None	None
Senju of the Thousand Hands	Monster	Light	Effect	None	Fairy	4	1400	1000	0	0	None	None
Sentinel of the Seas	Monster	Water	Normal	None	Aqua	4	1300	1000	0	0	None	None
Sephylon, the Ultimate Time Lord	Monster	Light	Effect	None	Fairy	10	4000	4000	0	0	None	None
Serene Psychic Witch	Monster	Earth	Effect	None	Psychic	3	1400	1200	0	0	None	None
Sergeant Electro	Monster	Fire	Effect	None	Machine	4	1600	1300	0	0	None	None
Serpent Night Dragon	Monster	Dark	Normal	None	Dragon	7	2350	2400	0	0	None	None
Serpentine Princess	Monster	Water	Effect	None	Reptile	4	1400	2000	0	0	None	None
Servant of Catabolism	Monster	Light	Effect	None	Aqua	3	700	500	0	0	None	None
Seven Swords Warrior	Monster	Earth	Synchro	Effect	Warrior	7	2300	1800	0	0	None	None
Shadowknight Archfiend	Monster	Water	Effect	None	Fiend	4	2000	1600	0	0	None	None
Shadow Delver	Monster	Dark	Effect	Gemini	Fiend	4	1500	500	0	0	None	None
Shadow Ghoul	Monster	Dark	Effect	None	Zombie	5	1600	1300	0	0	None	None
Shadowpriestess of Ohm	Monster	Dark	Effect	None	Spellcaster	4	1700	1600	0	0	None	None
Shadowslayer	Monster	Dark	Effect	None	Fiend	4	1400	200	0	0	None	None
Shadow Tamer	Monster	Earth	Effect	None	Warrior	3	800	700	0	0	None	None
Shiba-Warrior Taro	Monster	Earth	Effect	Tuner	BeastWarrior	2	800	600	0	0	None	None
Shield Warrior	Monster	Earth	Effect	None	Warrior	3	800	1600	0	0	None	None
Shield Wing	Monster	Water	Effect	None	WingedBeast	2	0	900	0	0	None	None
Shield Worm	Monster	Earth	Effect	None	Insect	4	800	2000	0	0	None	None
Shinato, King of a Higher Plane	Monster	Light	Ritual	Effect	Fairy	8	3300	3000	0	0	None	None
Shine Knight	Monster	Light	Effect	None	Warrior	3	400	1900	0	0	None	None
Shapesnatch	Monster	Dark	Normal	None	Machine	5	1200	1700	0	0	None	None
Shark Cruiser	Monster	Water	Effect	None	Fish	5	1800	2200	0	0	None	None
Shark Stickers	Monster	Water	Effect	None	Fish	3	200	1000	0	0	None	None
Shien's Advisor	Monster	Earth	Effect	None	Warrior	4	1200	400	0	0	None	None
Shien's Daredevil	Monster	Earth	Effect	None	Warrior	4	1600	1000	0	0	None	None
Shien's Footsoldier	Monster	Earth	Effect	None	Warrior	2	700	300	0	0	None	None
Shien's Squire	Monster	Earth	Effect	Tuner	Warrior	1	300	700	0	0	None	None
Shining Abyss	Monster	Light	Normal	None	Fairy	4	1600	1800	0	0	None	None
Shining Angel	Monster	Light	Effect	None	Fairy	4	1400	800	0	0	None	None
Shining Friendship	Monster	Light	Normal	None	Fairy	4	1300	1100	0	0	None	None
Shiny Black	Monster	Earth	Effect	None	Insect	1	200	500	0	0	None	None
Shire, Lightsworn Spirit	Monster	Light	Effect	None	Fairy	3	400	1400	0	0	None	None
Shock Troops of the Ice Barrier	Monster	Water	Effect	None	Spellcaster	3	1500	800	0	0	None	None
Shooting Star Dragon	Monster	Wind	Synchro	Effect	Dragon	10	3300	2500	0	0	None	None
Shooting Quasar Dragon	Monster	Light	Synchro	Effect	Dragon	12	4000	4000	0	0	None	None
Shovel Crusher	Monster	Earth	Normal	None	Machine	3	900	1200	0	0	None	None
Shreddder	Monster	Earth	Effect	None	Machine	4	1600	1000	0	0	None	None
Shutendoji	Monster	Earth	Effect	None	Zombie	4	1500	800	0	0	None	None
Silent Abyss	Monster	Water	Effect	None	Reptile	7	2000	1500	0	0	None	None
Silent Insect	Monster	Earth	Effect	None	Insect	2	200	300	0	0	None	None
Silent Magician LV4	Monster	Light	Effect	None	Spellcaster	4	1000	1000	0	0	None	None
Silent Magician LV8	Monster	Light	Effect	None	Spellcaster	8	3500	1000	0	0	None	None
Silent Psychic Wizard	Monster	Earth	Effect	None	Psychic	4	1900	0	0	0	None	None
Silent Strider	Monster	Earth	Effect	None	Insect	2	300	700	0	0	None	None
Silent Swordsman LV3	Monster	Light	Effect	None	Warrior	3	1000	1000	0	0	None	None
Silent Swordsman LV5	Monster	Light	Effect	None	Warrior	5	2300	1000	0	0	None	None
Silent Swordsman LV7	Monster	Light	Effect	None	Warrior	7	2800	1000	0	0	None	None
Sillva, Warlord of Dark World	Monster	Dark	Effect	None	Fiend	5	2300	1400	0	0	None	None
Silpheed	Monster	Wind	Effect	None	Fairy	4	1700	700	0	0	None	None
Silver Fang	Monster	Earth	Normal	None	Beast	3	1200	800	0	0	None	None
Simorgh, Bird of Ancestry	Monster	Wind	Effect	None	WingedBeast	8	2900	2000	0	0	None	None
Simorgh, Bird of Divinity	Monster	Wind	Effect	None	WingedBeast	7	2700	1000	0	0	None	None
Sinister Serpent	Monster	Water	Effect	None	Reptile	1	300	250	0	0	None	None
Sinister Sprocket	Monster	Dark	Effect	Tuner	Fiend	1	400	0	0	0	None	None
Skelengel	Monster	Light	Effect	None	Fairy	2	900	400	0	0	None	None
Skilled Dark Magician	Monster	Dark	Effect	None	Spellcaster	4	1900	1700	0	0	None	None
Skilled White Magician	Monster	Light	Effect	None	Spellcaster	4	1700	1900	0	0	None	None
Skreech	Monster	Water	Effect	None	Reptile	4	1500	400	0	0	None	None
Skull Archfiend of Lightning	Monster	Dark	Effect	None	Fiend	6	2500	1200	0	0	None	None
Skull Conductor	Monster	Dark	Effect	None	Zombie	4	2000	0	0	0	None	None
Skull Dog Marron	Monster	Earth	Normal	None	Beast	4	1350	2000	0	0	None	None
Skull Flame	Monster	Fire	Effect	None	Zombie	8	2600	2000	0	0	None	None
Skull Guardian	Monster	Light	Ritual	None	Warrior	7	2050	2500	0	0	None	None
Skull Knight	Monster	Dark	Fusion	None	Spellcaster	7	2650	2250	0	0	None	None
Skull Knight #2	Monster	Dark	Effect	None	Fiend	3	1000	1200	0	0	None	None
Skull Kraken	Monster	Dark	Effect	None	Aqua	3	600	1600	0	0	None	None
Skull-Mark Ladybug	Monster	Earth	Effect	None	Insect	4	500	1500	0	0	None	None
Skull Mariner	Monster	Water	Normal	None	Warrior	4	1600	900	0	0	None	None
Skull Meister	Monster	Dark	Effect	None	Fiend	4	1700	400	0	0	None	None
Skull Red Bird	Monster	Wind	Normal	None	WingedBeast	4	1550	1200	0	0	None	None
Skull Servant	Monster	Dark	Normal	None	Zombie	1	300	200	0	0	None	None
Skuna, the Leonine Rakan	Monster	Dark	Effect	None	BeastWarrior	8	2600	2000	0	0	None	None
Sky Dragon	Monster	Wind	Normal	None	Dragon	6	1900	1800	0	0	None	None
Sky Scourge Enrise	Monster	Light	Effect	None	Fairy	8	2400	1500	0	0	None	None
Sky Scourge Invicil	Monster	Earth	Effect	None	Fairy	8	2200	1600	0	0	None	None
Sky Scourge Norleras	Monster	Dark	Effect	None	Fiend	8	2400	1500	0	0	None	None
Skystarray	Monster	Wind	Effect	None	SeaSerpent	3	600	300	0	0	None	None
Slate Warrior	Monster	Wind	Effect	None	Fiend	4	1900	400	0	0	None	None
Sleeping Lion	Monster	Earth	Normal	None	Beast	4	700	1700	0	0	None	None
Slifer the Sky Dragon (original)	Monster	Divine	Normal	None	DivineBeast	10	0	0	0	0	None	None
Slot Machine	Monster	Dark	Normal	None	Machine	8	2000	2300	0	0	None	None
Small Piece Golem	Monster	Earth	Effect	None	Rock	3	1100	0	0	0	None	None
Snipe Hunter	Monster	Dark	Effect	None	Fiend	4	1500	600	0	0	None	None
Snowman Eater	Monster	Water	Effect	None	Aqua	3	0	1900	0	0	None	None
Snoww, Unlight of Dark World	Monster	Dark	Effect	None	Fiend	4	1700	0	0	0	None	None
Snyffus	Monster	Earth	Effect	Tuner	Beast	1	100	100	0	0	None	None
Soaring Eagle Above the Searing Land	Monster	Fire	Effect	Tuner	WingedBeast	1	100	0	0	0	None	None
Soitsu	Monster	Wind	Normal	None	Fairy	3	0	0	0	0	None	None
Solar Flare Dragon	Monster	Fire	Effect	None	Pyro	4	1500	1000	0	0	None	None
Solitaire Magician	Monster	Light	Effect	None	Spellcaster	4	1600	1300	0	0	None	None
Sonic Bird	Monster	Wind	Effect	None	WingedBeast	4	1400	1000	0	0	None	None
Sonic Chick	Monster	Earth	Effect	None	WingedBeast	1	300	300	0	0	None	None
Sonic Duck	Monster	Wind	Normal	None	WingedBeast	3	1700	700	0	0	None	None
Sonic Jammer	Monster	Wind	Effect	None	Machine	2	350	650	0	0	None	None
Sonic Maid	Monster	Earth	Normal	None	Warrior	3	1200	900	0	0	None	None
Sonic Shooter	Monster	Wind	Effect	None	WingedBeast	4	1300	600	0	0	None	None
Sorcerer of Dark Magic	Monster	Dark	Effect	None	Spellcaster	9	3200	2800	0	0	None	None
Sorcerer of the Doomed	Monster	Dark	Normal	None	Spellcaster	4	1450	1200	0	0	None	None
Sorciere de Fleur	Monster	Dark	Effect	None	Spellcaster	8	2900	0	0	0	None	None
Soul-Absorbing Bone Tower	Monster	Dark	Effect	None	Zombie	3	400	1500	0	0	None	None
Souleater	Monster	Earth	Normal	None	Fish	4	1200	0	0	0	None	None
Soul of Purity and Light	Monster	Light	Effect	None	Fairy	6	2000	1800	0	0	None	None
Soul Tiger	Monster	Earth	Normal	None	Beast	4	0	2100	0	0	None	None
Souls of the Forgotten	Monster	Dark	Normal	None	Fiend	2	900	200	0	0	None	None
Space Mambo	Monster	Water	Normal	None	Fish	4	1700	1000	0	0	None	None
Space-Time Police	Monster	Wind	Effect	None	Psychic	5	2300	1500	0	0	None	None
Spawn Alligator	Monster	Water	Effect	None	Reptile	5	2200	1000	0	0	None	None
Spear Cretin	Monster	Dark	Effect	None	Fiend	2	500	500	0	0	None	None
Spear Dragon	Monster	Wind	Effect	None	Dragon	4	1900	0	0	0	None	None
Spearfish Soldier	Monster	Wind	Effect	None	SeaSerpent	4	1700	1100	0	0	None	None
Speed Bird	Monster	Wind	Effect	None	WingedBeast	4	1200	1000	0	0	None	None
Speed Warrior	Monster	Wind	Effect	None	Warrior	2	900	400	0	0	None	None
Spell Canceller	Monster	Wind	Effect	None	Machine	5	1800	1600	0	0	None	None
Spell Reactor RE	Monster	Dark	Effect	None	Machine	3	1200	900	0	0	None	None
Spell Striker	Monster	Earth	Effect	None	Machine	3	600	200	0	0	None	None
Spellbreaker of the Ice Barrier	Monster	Water	Effect	None	Spellcaster	4	1200	2000	0	0	None	None
Spellstone Sorcerer Karood	Monster	Light	Effect	None	Spellcaster	3	800	1900	0	0	None	None
Sphere of Chaos	Monster	Dark	Effect	None	Machine	5	1600	0	0	0	None	None
Spherous Lady	Monster	Earth	Normal	None	Rock	3	400	1400	0	0	None	None
Sphinx Teleia	Monster	Light	Effect	None	Beast	10	2500	3000	0	0	None	None
Spike Seadra	Monster	Water	Normal	None	SeaSerpent	5	1600	1300	0	0	None	None
Spikebot	Monster	Dark	Normal	None	Machine	5	1800	1700	0	0	None	None
Spined Gillman	Monster	Water	Effect	None	SeaSerpent	3	1300	0	0	0	None	None
Spiral Serpent	Monster	Water	Normal	None	SeaSerpent	8	2900	2900	0	0	None	None
Spirit Caller	Monster	Light	Effect	None	Spellcaster	3	1000	1000	0	0	None	None
Spirit of Flames	Monster	Fire	Effect	None	Pyro	4	1700	1000	0	0	None	None
Spirit of the Books	Monster	Wind	Normal	None	WingedBeast	4	1400	1200	0	0	None	None
Spirit of the Breeze	Monster	Wind	Effect	None	Fairy	3	0	1800	0	0	None	None
Spirit of the Harp	Monster	Light	Normal	None	Fairy	4	800	2000	0	0	None	None
Spirit of the Pharaoh	Monster	Light	Effect	None	Zombie	6	2500	2000	0	0	None	None
Spirit of the Pot of Greed	Monster	Light	Effect	None	Fairy	1	100	100	0	0	None	None
Spirit of the Six Samurai	Monster	Earth	Effect	Union	Warrior	3	500	500	0	0	None	None
Spirit Reaper	Monster	Dark	Effect	None	Zombie	3	300	200	0	0	None	None
Spirit Ryu	Monster	Wind	Effect	None	Dragon	4	1000	1000	0	0	None	None
Splendid Rose	Monster	Wind	Synchro	Effect	Plant	6	2200	2000	0	0	None	None
Splendid Venus	Monster	Light	Effect	None	Fairy	8	2800	2400	0	0	None	None
Spore	Monster	Wind	Effect	Tuner	Plant	1	400	800	0	0	None	None
Spyder Spider	Monster	Earth	Effect	None	Insect	4	1500	1000	0	0	None	None
St. Joan	Monster	Light	Fusion	None	Fairy	7	2800	2000	0	0	None	None
Star Boy	Monster	Water	Effect	None	Aqua	2	550	500	0	0	None	None
Stardust Divinity	Monster	Light	Synchro	Effect	Fairy	10	3000	3000	0	0	None	None
Stardust Dragon	Monster	Wind	Synchro	Effect	Dragon	8	2500	2000	0	0	None	None
Stardust Dragon/Assault Mode	Monster	Wind	Effect	None	Dragon	10	3000	2500	0	0	None	None
Stardust Phantom	Monster	Light	Effect	None	Spellcaster	1	0	0	0	0	None	None
Stardust Xiaolong	Monster	Light	Effect	None	Dragon	1	100	100	0	0	None	None
Stealth Bird	Monster	Dark	Effect	None	WingedBeast	3	700	1700	0	0	None	None
Stealthroid	Monster	Dark	Effect	None	Machine	4	1200	0	0	0	None	None
Steam Gyroid	Monster	Earth	Fusion	None	Machine	6	2200	1600	0	0	None	None
Steamroid	Monster	Earth	Effect	None	Machine	4	1800	1800	0	0	None	None
Steel Ogre Grotto #1	Monster	Earth	Normal	None	Machine	5	1400	1800	0	0	None	None
Steel Ogre Grotto #2	Monster	Earth	Normal	None	Machine	6	1900	2200	0	0	None	None
Steel Scorpion	Monster	Earth	Effect	None	Machine	1	250	300	0	0	None	None
Steelswarm Caller	Monster	Dark	Effect	None	Fiend	4	1700	0	0	0	None	None
Steelswarm Caucastag	Monster	Dark	Effect	None	Fiend	8	2800	0	0	0	None	None
Steelswarm Cell	Monster	Dark	Effect	None	Fiend	1	0	0	0	0	None	None
Steelswarm Gatekeeper	Monster	Dark	Effect	None	Fiend	4	1500	1900	0	0	None	None
Steelswarm Girastag	Monster	Dark	Effect	None	Fiend	7	2600	0	0	0	None	None
Steelswarm Mantis	Monster	Dark	Effect	None	Fiend	5	2200	0	0	0	None	None
Steelswarm Moth	Monster	Dark	Effect	None	Fiend	6	2400	0	0	0	None	None
Steelswarm Roach	Monster	Dark	Xyz	Effect	Fiend	4	1900	0	0	0	None	None
Steelswarm Scout	Monster	Dark	Effect	None	Fiend	1	200	0	0	0	None	None
Stinging Swordsman	Monster	Wind	Effect	None	Warrior	1	300	600	0	0	None	None
Stone Dragon	Monster	Earth	Normal	None	Rock	7	2000	2300	0	0	None	None
Stone Ogre Grotto	Monster	Earth	Normal	None	Rock	5	1600	1500	0	0	None	None
Stone Statue of the Aztecs	Monster	Earth	Effect	None	Rock	4	300	2000	0	0	None	None
Storm Caller	Monster	Wind	Effect	None	Psychic	6	2300	2000	0	0	None	None
Storm Shooter	Monster	Wind	Effect	None	WingedBeast	7	2300	500	0	0	None	None
Storming Wynn	Monster	Wind	Effect	None	Spellcaster	4	800	1500	0	0	None	None
Strategist of the Ice Barrier	Monster	Water	Effect	None	Spellcaster	4	1600	1600	0	0	None	None
Stray Asmodian	Monster	Fire	Effect	None	Fiend	3	1300	1700	0	0	None	None
Strike Ninja	Monster	Dark	Effect	None	Warrior	4	1700	1200	0	0	None	None
Strong Wind Dragon	Monster	Wind	Effect	None	Dragon	6	2400	1000	0	0	None	None
Stronghold Guardian	Monster	Earth	Effect	None	Warrior	4	0	1500	0	0	None	None
Stuffed Animal	Monster	Earth	Normal	None	Warrior	3	1200	900	0	0	None	None
Stygian Security	Monster	Dark	Effect	Tuner	Fiend	1	100	600	0	0	None	None
Stygian Sergeants	Monster	Dark	Synchro	Effect	Fiend	5	2200	1800	0	0	None	None
Stygian Street Patrol	Monster	Dark	Effect	None	Fiend	4	1600	1200	0	0	None	None
Submarine Frog	Monster	Water	Effect	None	Aqua	2	1200	600	0	0	None	None
Submarineroid	Monster	Water	Effect	None	Machine	4	800	1800	0	0	None	None
Submersible Carrier Aero Shark	Monster	Water	Xyz	Effect	Fish	3	1900	1000	0	0	None	None
Substitoad	Monster	Water	Effect	None	Aqua	1	100	2000	0	0	None	None
Succubus Knight	Monster	Dark	Normal	None	Warrior	5	1650	1300	0	0	None	None
Suijin	Monster	Water	Effect	None	Aqua	7	2500	2400	0	0	None	None
Summon Reactor・SK	Monster	Dark	Effect	None	Machine	5	2000	1400	0	0	None	None
Summoned Skull	Monster	Dark	Normal	None	Fiend	6	2500	1200	0	0	None	None
Summoner Monk	Monster	Dark	Effect	None	Spellcaster	4	800	1600	0	0	None	None
Summoner of Illusions	Monster	Light	Effect	None	Spellcaster	3	800	900	0	0	None	None
Sun Dragon Inti	Monster	Light	Synchro	Effect	Dragon	8	3000	2800	0	0	None	None
Sunlight Unicorn	Monster	Light	Effect	None	Beast	4	1800	1000	0	0	None	None
Sunny Pixie	Monster	Light	Effect	Tuner	Spellcaster	1	300	400	0	0	None	None
Supay	Monster	Earth	Effect	Tuner	Fiend	1	300	100	0	0	None	None
Super Conductor Tyranno	Monster	Light	Effect	None	Dinosaur	8	3300	1400	0	0	None	None
Super Crashbug	Monster	Dark	Effect	None	Fiend	4	0	3000	0	0	None	None
Super-Electromagnetic Voltech Dragon	Monster	Light	Effect	None	Thunder	5	2400	1000	0	0	None	None
Super Robolady	Monster	Earth	Fusion	Effect	Machine	6	1200	500	0	0	None	None
Super Roboyarou	Monster	Earth	Fusion	Effect	Machine	6	1200	500	0	0	None	None
Super Vehicroid Jumbo Drill	Monster	Earth	Fusion	Effect	Machine	8	3000	2000	0	0	None	None
Super Vehicroid - Stealth Union	Monster	Earth	Fusion	Effect	Machine	9	3600	3000	0	0	None	None
Super War-Lion	Monster	Earth	Ritual	None	Beast	7	2300	2100	0	0	None	None
Superalloy Beast Raptinus	Monster	Light	Fusion	Effect	Dragon	8	2200	2200	0	0	None	None
Superancient Deepsea King Coelacanth	Monster	Water	Effect	None	Fish	7	2800	2200	0	0	None	None
Super-Ancient Dinobeast	Monster	Earth	Effect	None	Dinosaur	8	2700	1400	0	0	None	None
Super-Nimble Mega Hamster	Monster	Earth	Effect	None	Beast	4	1100	1800	0	0	None	None
Supersonic Skull Flame	Monster	Wind	Effect	None	Zombie	10	2600	2000	0	0	None	None
Supply	Monster	Earth	Effect	None	Warrior	4	1300	800	0	0	None	None
Supreme Arcanite Magician	Monster	Light	Fusion	Effect	Spellcaster	10	1400	2800	0	0	None	None
Susa Soldier	Monster	Earth	Effect	Spirit	Thunder	4	2000	1600	0	0	None	None
Svartalf of the Nordic Alfar	Monster	Dark	Effect	Tuner	Spellcaster	5	1400	1600	0	0	None	None
Swamp Battleguard	Monster	Earth	Effect	None	Warrior	6	1800	1500	0	0	None	None
Swap Frog	Monster	Water	Effect	None	Aqua	2	1000	500	0	0	None	None
Swarm of Locusts	Monster	Dark	Effect	None	Insect	3	1000	500	0	0	None	None
Swarm of Scarabs	Monster	Dark	Effect	None	Insect	3	500	1000	0	0	None	None
Swift Birdman Joe	Monster	Wind	Effect	None	WingedBeast	6	2300	1400	0	0	None	None
Swift Gaia the Fierce Knight	Monster	Dark	Effect	None	Warrior	7	2300	2100	0	0	None	None
Swift Scarecrow	Monster	Earth	Effect	None	Machine	1	0	0	0	0	None	None
Sword Hunter	Monster	Earth	Effect	None	Warrior	7	2450	1700	0	0	None	None
Sword Master	Monster	Earth	Effect	Tuner	Warrior	3	1200	0	0	0	None	None
Swordsman of Landstar	Monster	Earth	Normal	None	Warrior	3	500	1200	0	0	None	None
Swordstalker	Monster	Dark	Normal	None	Warrior	6	2000	1600	0	0	None	None
Symphonic Warrior Basses	Monster	Wind	Effect	Tuner	Machine	1	600	400	0	0	None	None
Symphonic Warrior Drumss	Monster	Wind	Effect	Tuner	Machine	2	700	700	0	0	None	None
Symphonic Warrior Piaano	Monster	Wind	Effect	Tuner	Machine	3	900	1300	0	0	None	None
Synchro Fusionist	Monster	Dark	Effect	None	Spellcaster	2	800	600	0	0	None	None
Synchro Magnet	Monster	Earth	Effect	Tuner	Machine	3	1000	600	0	0	None	None
Synchro Soldier	Monster	Earth	Effect	None	Machine	1	0	0	0	0	None	None
Synchron Explorer	Monster	Earth	Effect	None	Machine	2	0	700	0	0	None	None
T.G. Blade Blaster	Monster	Earth	Synchro	Effect	Machine	10	3300	2200	0	0	None	None
T.G. Catapult Dragon	Monster	Earth	Effect	None	Dragon	2	900	1300	0	0	None	None
T.G. Cyber Magician	Monster	Light	Effect	Tuner	Spellcaster	1	0	0	0	0	None	None
T.G. Halberd Cannon	Monster	Earth	Synchro	Effect	Machine	12	4000	4000	0	0	None	None
T.G. Hyper Librarian	Monster	Dark	Synchro	Effect	Spellcaster	5	2400	1800	0	0	None	None
T.G. Jet Falcon	Monster	Wind	Effect	Tuner	WingedBeast	3	1400	1200	0	0	None	None
T.G. Power Gladiator	Monster	Earth	Synchro	Effect	Warrior	5	2300	1000	0	0	None	None
T.G. Recipro Dragonfly	Monster	Wind	Synchro	Tuner	Insect	2	300	300	0	0	None	None
T.G. Rush Rhino	Monster	Earth	Effect	None	Beast	4	1600	800	0	0	None	None
T.G. Striker	Monster	Earth	Effect	Tuner	Warrior	2	800	0	0	0	None	None
T.G. Warwolf	Monster	Dark	Effect	None	BeastWarrior	3	1200	0	0	0	None	None
T.G. Wonder Magician	Monster	Light	Synchro	Tuner	Spellcaster	5	1900	0	0	0	None	None
Tactical Espionage Expert	Monster	Earth	Effect	None	Warrior	3	1300	1200	0	0	None	None
T.A.D.P.O.L.E.	Monster	Water	Effect	None	Aqua	1	0	0	0	0	None	None
Tainted Wisdom	Monster	Dark	Effect	None	Fiend	3	1250	800	0	0	None	None
Takriminos	Monster	Water	Normal	None	SeaSerpent	4	1500	1200	0	0	None	None
Takuhee	Monster	Wind	Normal	None	WingedBeast	4	1450	1000	0	0	None	None
Tanngnjostr of the Nordic Beasts	Monster	Earth	Effect	None	Beast	3	800	1100	0	0	None	None
Tanngrisnir of the Nordic Beasts	Monster	Earth	Effect	None	Beast	3	1200	800	0	0	None	None
